epoch:=96 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=97 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=98 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=99 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=100 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=101 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=102 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=103 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=104 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=105 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=106 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=107 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=108 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=109 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=110 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=111 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=112 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=113 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=114 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=115 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=116 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=117 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=118 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=119 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=120 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=121 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=122 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=123 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=124 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=125 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=126 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=127 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=128 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=129 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=130 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=131 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=132 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=133 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=134 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=135 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=136 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=137 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=138 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=139 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=140 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=141 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=142 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=143 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=144 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=145 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=146 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=147 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=148 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=149 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=150 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=151 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=152 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=153 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=154 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=155 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=156 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=157 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=158 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=159 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=160 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=161 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=162 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=163 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=164 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=165 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=166 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=167 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=168 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=169 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=170 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=171 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=172 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=173 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=174 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=175 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=176 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=177 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=178 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=179 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=180 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=181 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=182 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=183 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=184 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=185 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=186 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=187 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=188 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=189 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=190 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=191 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=192 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=193 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=194 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=195 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=196 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=197 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=198 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=199 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=200 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=201 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=202 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=203 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=204 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=205 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=206 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=207 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=208 ,train_acc:=0.000000 ,test_acc:=0.000000
